analysis_id,outcome,measure,scenario,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high
3.5,ADCS-ADL-MCI score at 18 months,SMD,Cochrane class pool,4,0.2253197481892245,0.11570585032937554,0.3349336460490735,0.007261190132686397,0,0,0.11570585032937554,0.3349336460490735
3.5,ADCS-ADL-MCI score at 18 months,SMD,Exclude futility-terminated trials,2,0.24821287680417792,0.14940316085830976,0.3470225927500461,8.501575972788044e-7,0,0,NA,NA
3.5,ADCS-ADL-MCI score at 18 months,SMD,Exclude all early-terminated trials,1,0.246614,0.14758681968111378,0.34564118031888624,1.0553361619288916e-6,0,NA,NA,NA
3.6,ADCS-iADL score at 18 months,SMD,Cochrane class pool,1,0.2086615152924401,0.09740270301361327,0.3199203275712669,2.3707256248493594e-4,0,NA,NA,NA
3.6,ADCS-iADL score at 18 months,SMD,Exclude futility-terminated trials,1,0.2086615152924401,0.09740270301361327,0.3199203275712669,2.3707256248493594e-4,0,NA,NA,NA
3.6,ADCS-iADL score at 18 months,SMD,Exclude all early-terminated trials,1,0.2086615152924401,0.09740270301361327,0.3199203275712669,2.3707256248493594e-4,0,NA,NA,NA
3.7,ADCS-ADL 24 months mean difference,MD,Cochrane class pool,2,0.6478059440559435,-4.919750116189824,6.215362004301711,0.8196080459316482,11.602949999999998,70.92614553278888,NA,NA
3.8,ADCS-ADL-MCI 18 months mean difference,MD,Cochrane class pool,4,1.8958916024482904,1.4016339013200931,2.3901493035764876,0.0011836244895837183,0,0,1.4016339013200931,2.3901493035764876
3.8,ADCS-ADL-MCI 18 months mean difference,MD,Exclude futility-terminated trials,2,2.0272071943108627,1.2278374985127742,2.826576890108951,6.678648711519499e-7,0,0,NA,NA
3.8,ADCS-ADL-MCI 18 months mean difference,MD,Exclude all early-terminated trials,1,2,1.1964147663385778,2.803585233661422,1.0714043136683432e-6,0,NA,NA,NA
